,file,HSE bandgap,"dielectric constant, electronic","dielectric constant, ionic","dielectric constant, total",gap type,organic molecule,refractive index,relative energy1,relative energy2,organic_surface_area,organic_volume,organic_globularity,label,organic_furthest_distance_from_center,B_atom,X_atom,B_atom_volume,B_atom_globularity,order,length_est_by_volume,X_atom_0_B_neighbor_area,X_atom_0_B_neighbor_percent,X_atom_1_B_neighbor_area,X_atom_1_B_neighbor_percent,X_atom_2_B_neighbor_area,X_atom_2_B_neighbor_percent,X_atoms_B_neighbor_percent_stdev,X_atoms_B_neighbor_percent_mean,X_atom_0_H_neighbor_area,X_atom_0_H_neighbor_percent,X_atom_1_H_neighbor_area,X_atom_1_H_neighbor_percent,X_atom_2_H_neighbor_area,X_atom_2_H_neighbor_percent,X_atoms_H_neighbor_percent_stdev,X_atoms_H_neighbor_percent_mean,X_atom_0_any_organic_neighbor_area,X_atom_0_any_organic_neighbor_percent,X_atom_1_any_organic_neighbor_area,X_atom_1_any_organic_neighbor_percent,X_atom_2_any_organic_neighbor_area,X_atom_2_any_organic_neighbor_percent,X_atoms_any_organic_neighbor_percent_stdev,X_atoms_any_organic_neighbor_percent_mean,B_atom_H_neighbor_percent,B_atom_X_neighbor_percent,B_atom_any_organic_neighbor_percent,organic_molecule_B_neighbor_percent,organic_molecule_X_neighbor_percent,organic_molecule_any_organic_neighbor_percent,X_atoms_volumes_mean,X_atoms_volumes_stdev,B_atom_surface_area,X_atoms_surface_areas_mean,X_atoms_surface_areas_stdev,X_atoms_globularities_mean,X_atoms_globularities_stdev,contains_F,contains_Cl,contains_Br,contains_I,contains_Ge,contains_Sn,contains_Pb
0,1,5.9448,2.7968,2.6005,5.3973,direct,CH3CH2NH3,1.6724,-0.2279,0.3767,79.39761259,56.4491258,0.896288943,Ethylammonium Germanium Fluoride,3.165089845,Ge,F,20.82759747,0.862710163,0,2.468159266,3.924346499,0.190626441,3.548473191,0.175565966,3.460704345,0.182702022,0.006151221,0.18296481,16.54247689,0.803556338,16.66315027,0.824434034,15.43927556,0.815090394,0.008538906,0.814360255,16.54247689,0.803556338,16.66315027,0.824434034,15.43927556,0.815090394,0.008538906,0.814360255,0.503954757,0.496045243,0.503954757,0.053291789,0.570737319,0.375970892,63.11098962,29.89887332,42.43379476,19.91333301,0.703828562,0.89737085,0.024508806,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1,2,5.3704,2.8753,2.7377,5.613,direct,CH3CH2NH3,1.6957,-0.2262,0.3784,79.52806765,56.7411976,0.897902617,Ethylammonium Germanium Fluoride,3.340372323,Ge,F,20.01979539,0.859677334,2,2.470926764,4.173103311,0.209909998,3.345624397,0.164469716,3.258354721,0.162131916,0.021992498,0.17883721,15.70733762,0.790090002,16.75330927,0.823586776,16.57905058,0.824954148,0.01612249,0.812876975,15.70733762,0.790090002,16.75330927,0.823586776,16.57905058,0.824954148,0.01612249,0.812876975,0.494586215,0.505413785,0.494586215,0.045129966,0.597078276,0.357791759,44.30601566,17.17295105,41.47518023,20.10642131,0.188504,0.884085073,0.017258878,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2,3,5.8916,2.7387,3.3725,6.1112,indirect,CH3CH2NH3,1.6549,-0.2149,0.3897,82.20165199,59.49105019,0.896543185,Ethylammonium Germanium Fluoride,3.244054959,Ge,F,21.41535255,0.8615814,5,2.511483102,2.941266212,0.147247504,5.910306767,0.294639316,4.271133331,0.217164108,0.060198824,0.219683643,16.57924196,0.830000357,12.78832338,0.637520691,12.66702901,0.644050147,0.089236599,0.703857065,16.57924196,0.830000357,12.78832338,0.637520691,12.66702901,0.644050147,0.089236599,0.703857065,0.361037516,0.638962484,0.361037516,0.033183747,0.483058211,0.483758042,44.96591592,16.65276306,43.28504164,19.900738,0.168306278,0.885795545,0.017121986,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
3,4,5.9494,2.7315,2.5727,5.3041,indirect,CH3CH2NH3,1.6527,-0.2276,0.377,80.93380397,57.86287342,0.893896795,Ethylammonium Germanium Fluoride,3.334147762,Ge,F,21.96826944,0.854821754,1,2.490812245,3.515192902,0.178066273,6.134876307,0.3105885,4.264802878,0.210548375,0.056396665,0.233067716,16.06857779,0.813972901,11.60526027,0.58753595,14.03461013,0.692872435,0.09251714,0.698127095,16.06857779,0.813972901,11.60526027,0.58753595,14.03461013,0.692872435,0.09251714,0.698127095,0.325246661,0.674753339,0.325246661,0.033998241,0.435824206,0.530177553,46.9834566,17.68840848,44.37506486,19.91634728,0.239998358,0.882636041,0.019667671,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,5,5.9595,2.7502,2.2136,4.9637,indirect,CH3CH2NH3,1.6584,-0.2099,0.3947,80.71848862,57.25333871,0.889975789,Ethylammonium Germanium Fluoride,3.285465157,Ge,F,21.5977888,0.85719332,6,2.485674908,4.635031005,0.228683224,4.699980445,0.232050407,3.536096526,0.181899932,0.022888824,0.214211188,12.64038896,0.623651686,12.43464807,0.613931309,14.62401485,0.752272256,0.063048442,0.663285083,12.64038896,0.623651686,12.43464807,0.613931309,14.62401485,0.752272256,0.063048442,0.663285083,0.414938946,0.585061054,0.414938946,0.061978585,0.416449816,0.521571599,45.77451188,17.09552484,43.75336078,19.98742443,0.38727931,0.881662303,0.017302184,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,6,5.9412,2.7323,3.1944,5.9267,indirect,CH3CH2NH3,1.653,-0.2197,0.3849,81.8879864,58.3946753,0.888885814,Ethylammonium Germanium Fluoride,3.239408805,Ge,F,21.7788415,0.851584821,3,2.503105824,3.603934805,0.184032977,5.973777778,0.308316918,4.388540461,0.215823197,0.052717491,0.236057697,15.88706285,0.811264252,11.52650962,0.594902933,13.55681867,0.666708206,0.089978187,0.690958464,15.88706285,0.811264252,11.52650962,0.594902933,13.55681867,0.666708206,0.089978187,0.690958464,0.333922076,0.666077924,0.333922076,0.027680112,0.441739311,0.530580577,45.42850631,16.72283836,44.28730706,19.76416646,0.411726959,0.8771788,0.018097676,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
6,7,5.9521,2.765,3.0257,5.7907,indirect,CH3CH2NH3,1.6628,-0.2159,0.3887,79.99417832,56.54026833,0.890562076,Ethylammonium Germanium Fluoride,3.233292235,Ge,F,22.09566714,0.859528917,4,2.474769049,3.542221168,0.183248599,6.026712045,0.304900485,4.516630478,0.222335578,0.050710439,0.236828221,15.36832953,0.795044893,11.09647726,0.561387582,12.87273806,0.633673194,0.097673933,0.663368556,15.36832953,0.795044893,11.09647726,0.561387582,12.87273806,0.633673194,0.097673933,0.663368556,0.314238914,0.685761086,0.314238914,0.02880542,0.40723257,0.56396201,46.29500591,17.11151655,44.30250219,19.80359204,0.402723428,0.879100182,0.013838974,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7,8,5.744,2.7876,14.5954,17.383,indirect,CH3CH2NH3,1.6696,-0.2055,0.3991,81.26017864,59.00070707,0.901940123,Ethylammonium Germanium Fluoride,3.30439716,Ge,F,20.77490188,0.877468713,8,2.499558409,2.305478114,0.114726796,4.712830998,0.239455875,5.569757623,0.288123625,0.073023857,0.214102099,17.17189364,0.854519643,13.97798584,0.710212361,11.62284394,0.601249849,0.103732032,0.721993951,17.17189364,0.854519643,13.97798584,0.710212361,11.62284394,0.601249849,0.103732032,0.721993951,0.397221551,0.602778449,0.397221551,0.04635501,0.489866044,0.463778947,44.61847951,16.85995543,41.64968134,19.70264389,0.312359639,0.886197622,0.006172271,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8,9,5.7012,2.631,2.3088,4.9398,indirect,CH3CH2NH3,1.622,-0.2065,0.3981,81.0247922,56.60450111,0.879900142,Ethylammonium Germanium Fluoride,3.546909379,Ge,F,25.13701222,0.854860403,7,2.485665281,3.816068108,0.184931724,4.987281783,0.241695745,4.143163682,0.196935374,0.024426153,0.207854281,15.62734192,0.757321723,11.46928481,0.555829299,13.62334776,0.647553244,0.082368817,0.653568088,15.62734192,0.757321723,11.46928481,0.555829299,13.62334776,0.647553244,0.082368817,0.653568088,0.403632681,0.596367319,0.403632681,0.047689047,0.447768181,0.504542771,47.71280879,15.96349884,48.54351706,20.76924846,0.190170028,0.886246883,0.022193593,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,10,5.7402,2.622,3.1627,5.7847,indirect,CH3CH2CH2NH3,1.6193,-0.2489,0.2549,103.3960514,83.51459904,0.893624325,Propylammonium Germanium Fluoride,3.719578247,Ge,F,23.51488878,0.835708164,1,2.815178429,3.286524824,0.161611046,3.946903962,0.181738413,4.264330083,0.219379174,0.023942279,0.187576211,16.51223342,0.811969924,17.44413284,0.803229327,14.89199324,0.766121081,0.019876106,0.793773444,16.51223342,0.811969924,17.44413284,0.803229327,14.89199324,0.766121081,0.019876106,0.793773444,0.541290958,0.458709042,0.541290958,0.039552167,0.47022352,0.490224313,56.60450111,0,47.49610288,20.49722928,0.937488263,0.879900142,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10,11,5.5243,2.6918,2.1855,4.8773,indirect,CH3CH2CH2NH3,1.6407,-0.2417,0.2621,102.5565487,80.69921849,0.880575959,Propylammonium Germanium Fluoride,3.753089279,Ge,F,23.18033576,0.848196498,4,2.796861462,4.211516519,0.211934608,3.707746026,0.170557638,4.098746209,0.217419558,0.020918301,0.199970601,15.35546413,0.772727416,17.76539042,0.817214286,14.75303623,0.782580442,0.019077814,0.790840715,15.35546413,0.772727416,17.76539042,0.817214286,14.75303623,0.782580442,0.019077814,0.790840715,0.499614801,0.500385199,0.499614801,0.02871443,0.459765886,0.511519685,83.51459904,0,46.3518788,20.15417267,1.195481398,0.893624325,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11,12,5.9081,2.6487,1.8851,4.5338,direct,CH3CH2CH2NH3,1.6275,-0.2497,0.2541,102.0107473,79.83367781,0.87894594,Propylammonium Germanium Fluoride,3.872897033,Ge,F,24.35261155,0.862088201,0,2.788547912,3.483372895,0.173581158,3.51633627,0.171541884,3.571093429,0.178948419,0.003123796,0.174690487,15.74368909,0.78452921,16.05527964,0.783245032,15.93815748,0.798665209,0.006986157,0.78881315,15.74368909,0.78452921,16.05527964,0.783245032,15.93815748,0.798665209,0.006986157,0.78881315,0.547673199,0.452326801,0.547673199,0.039850604,0.476303571,0.483845825,80.69921849,0,47.12984326,20.17403189,0.233860453,0.880575959,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
12,13,5.9717,2.719,1.7765,4.4955,indirect,CH3CH2CH2NH3,1.6489,-0.2483,0.2555,98.04180591,76.87801775,0.891813724,Propylammonium Germanium Fluoride,3.732199725,Ge,F,22.65725183,0.850272575,2,2.740392657,3.318031806,0.166479789,3.994756943,0.190342445,3.561683053,0.178731942,0.009743062,0.178518059,16.2638949,0.816028884,16.23733118,0.773677439,16.23713875,0.814810103,0.019683683,0.801505475,16.2638949,0.816028884,16.23733118,0.773677439,16.23713875,0.814810103,0.019683683,0.801505475,0.531411112,0.468588888,0.531411112,0.045482397,0.489549993,0.46496761,79.83367781,0,45.54045008,20.28175382,0.498834649,0.87894594,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
13,14,5.7297,2.7217,3.7618,6.4835,indirect,CH3CH2CH2NH3,1.6498,-0.2319,0.2719,99.61757788,76.95960031,0.878327661,Propylammonium Germanium Fluoride,3.723248146,Ge,F,23.05025952,0.85554085,5,2.755320993,3.80773603,0.182072489,3.605831984,0.170112051,4.070557072,0.2077915,0.015720689,0.18665868,16.80252749,0.803437523,17.39343667,0.820568791,15.51906557,0.7922085,0.01166132,0.805404938,16.80252749,0.803437523,17.39343667,0.820568791,15.51906557,0.7922085,0.01166132,0.805404938,0.518735238,0.481264762,0.518735238,0.040521563,0.475101858,0.484376579,76.87801775,0,45.78189844,20.56657487,0.70043841,0.891813724,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
14,15,6.0431,2.7489,1.919,4.668,indirect,CH3CH2CH2NH3,1.658,-0.231,0.2728,101.6064019,77.67739726,0.866481657,Propylammonium Germanium Fluoride,3.898884808,Ge,F,20.85983785,0.865049382,6,2.776399029,3.148115304,0.160098662,4.214386342,0.213057038,5.351747572,0.268133708,0.044107949,0.213763136,14.90715734,0.758109444,12.10871071,0.612152241,11.81313501,0.591862686,0.074051901,0.654041457,14.90715734,0.758109444,12.10871071,0.612152241,11.81313501,0.591862686,0.074051901,0.654041457,0.416548863,0.583451137,0.416548863,0.0462287,0.323754766,0.630016534,76.95960031,0,42.36270867,19.80113308,0.121574265,0.878327661,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
15,16,5.8154,2.7295,2.2047,4.9341,indirect,CH3CH2CH2NH3,1.6521,-0.2447,0.2592,100.920338,76.54388086,0.863864494,Propylammonium Germanium Fluoride,3.867318041,Ge,F,21.80954638,0.843826577,3,2.765615099,3.409941875,0.173457208,5.889810396,0.292138203,4.107849777,0.201102292,0.050702801,0.222232568,16.09882805,0.818916528,13.91860294,0.690371231,15.22848708,0.745519877,0.052654361,0.751602545,16.09882805,0.818916528,13.91860294,0.690371231,15.22848708,0.745519877,0.052654361,0.751602545,0.374633308,0.625366692,0.374633308,0.034862662,0.400186005,0.564951333,77.67739726,0,44.73648842,20.08213392,0.318450931,0.866481657,1.11E-16,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
16,17,5.694,2.716,2.0339,4.7499,indirect,CH3CH2CH2NH3,1.648,-0.2183,0.2855,101.1349625,77.2376995,0.867232553,Propylammonium Germanium Fluoride,4.259403042,Ge,F,21.92819338,0.864341125,7,2.77035042,3.212368176,0.147494572,2.942867418,0.137744214,2.942414688,0.140456092,0.004109122,0.141898293,17.12814297,0.786431684,18.42185885,0.862255786,16.91379098,0.807379392,0.031971375,0.818688954,17.12814297,0.786431684,18.42185885,0.862255786,16.91379098,0.807379392,0.031971375,0.818688954,0.555301417,0.444698583,0.555301417,0.049676904,0.479234452,0.471088643,76.54388086,0,43.8329527,21.36443172,0.339078312,0.863864494,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
17,18,6.0509,2.6555,3.101,5.7565,indirect,CH3CH2CH2CH2NH3,1.6296,-0.2531,0.1787,123.5301281,100.4233771,0.845799956,Butylammonium Germanium Fluoride,4.31027978,Ge,F,24.11262939,0.829747005,2,3.049012286,4.997510415,0.253871468,4.190686319,0.194038263,3.753777684,0.182815845,0.03118913,0.210241859,13.58611574,0.690169077,16.58527163,0.767935621,16.28104223,0.792916563,0.043752751,0.750340421,13.58611574,0.690169077,16.58527163,0.767935621,16.28104223,0.792916563,0.043752751,0.750340421,0.519729664,0.480270336,0.519729664,0.041965843,0.358158474,0.599875683,41.82098609,25.04339822,48.64460593,20.60517478,0.782239257,0.842242187,0.017670857,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
18,19,5.9456,2.6088,2.0303,4.6391,indirect,CH3CH2CH2CH2NH3,1.6152,-0.2559,0.176,122.8574703,102.8353666,0.863994081,Butylammonium Germanium Fluoride,4.386693225,Ge,F,25.31591483,0.850166237,0,3.051504614,4.614987886,0.228985734,3.901412531,0.18774249,3.366636075,0.163600146,0.026996159,0.19344279,15.07038027,0.747759729,16.64689155,0.801076237,16.92247157,0.822339793,0.031370501,0.79039192,15.07038027,0.747759729,16.64689155,0.801076237,16.92247157,0.822339793,0.031370501,0.79039192,0.558020092,0.441979908,0.558020092,0.033197096,0.399228164,0.56757474,50.35173558,35.40599726,49.04287249,20.50438038,0.261120811,0.84871081,0.002058284,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
