,"dielectric constant, electronic",split,Predicted
0,2.7968,train,2.849969
1,2.8753,train,2.829325
2,2.7387,test,2.77441
3,2.7315,train,2.7651293
4,2.7502,train,2.7309198
5,2.7323,test,2.7390976
6,2.765,train,2.7697828
7,2.7876,test,2.816387
8,2.631,train,2.707774
9,2.622,train,2.6527596
10,2.6918,test,2.705814
11,2.6487,train,2.6349812
12,2.719,train,2.6740499
13,2.7217,train,2.7230983
14,2.7489,train,2.726263
15,2.7295,train,2.668765
16,2.716,train,2.7528348
17,2.6555,train,2.6446815
18,2.6088,train,2.570236
19,2.6574,train,2.6153862
20,2.7196,train,2.6942475
21,2.6863,train,2.7210934
22,2.7273,train,2.7074218
23,2.707,test,2.7713523
24,2.7344,train,2.7386537
25,2.6278,train,2.707889
26,2.7189,train,2.725786
27,2.6817,train,2.6727874
28,2.7351,train,2.8132353
29,2.6942,test,2.76283
30,2.7629,test,2.7870495
31,2.7319,test,2.7723763
32,2.7161,train,2.7984672
33,2.6995,test,2.7748427
34,2.6849,train,2.8033981
35,2.8276,train,2.8746912
36,2.8234,train,2.8406792
37,2.8381,train,2.8437352
38,2.8493,train,2.7442043
39,2.8573,test,2.826692
40,2.7911,train,2.7048624
41,2.9119,train,2.894954
42,2.8931,train,2.8637943
43,2.7603,train,2.8168123
44,2.7677,train,2.8337278
45,2.8189,train,2.8943121
46,2.6808,train,2.7573738
47,2.8878,train,3.0021384
48,2.9083,train,2.961025
49,2.9682,test,2.8710387
50,3.0613,train,2.998326
51,2.8387,train,2.9717567
52,2.9354,train,3.0390403
53,2.9199,train,2.995988
54,2.9298,test,3.1806507
55,2.9416,test,3.0220242
56,2.8888,train,2.944726
57,2.94,train,2.88222
58,2.5832,train,2.620335
59,2.5853,train,2.7087984
60,3.0349,test,2.8580456
61,2.8755,train,2.8724687
62,3.0212,train,2.9479954
63,2.8958,test,2.9206634
64,2.963,train,2.9356673
65,2.8891,test,2.9401417
66,2.9719,test,2.8898747
67,2.8654,test,2.9637673
68,2.8712,train,2.93229
69,2.9742,train,2.9434907
70,2.654,train,2.7525032
71,2.6666,train,2.7081752
72,2.6237,test,2.7164252
73,2.5787,train,2.6318533
74,2.6263,train,2.7302043
75,2.5856,train,2.65994
76,2.5907,test,2.6504092
77,2.7402,test,2.8666792
78,2.816,test,2.8049471
79,2.7631,test,2.7808776
80,2.8441,train,2.823262
81,2.7136,test,2.8351004
82,2.7358,train,2.774065
83,2.6251,train,2.6998057
84,2.7751,test,2.8318849
85,2.7821,train,2.798695
86,2.7835,test,2.81018
87,2.7574,train,2.7552898
88,2.7114,train,2.7405634
89,2.6569,train,2.6985636
90,2.986,test,2.963887
91,2.994,train,2.9310706
92,2.8618,train,2.9296732
93,2.9519,train,2.8686733
94,2.9355,train,2.9040103
95,2.9764,train,2.8891482
96,3.2264,test,3.3247683
97,3.3143,test,3.3415093
98,3.0561,train,3.175355
99,3.1228,train,3.1865633
100,3.1383,train,3.1962845
101,2.9271,test,2.999745
102,3.4348,train,3.3941312
103,3.0918,train,3.073892
104,3.2568,train,3.3079293
105,2.9243,train,3.0002155
106,2.9131,train,2.9790637
107,2.9177,train,3.0147667
108,2.9711,train,3.1219437
109,3.0489,test,3.2126513
110,3.1057,test,3.0359936
111,3.1727,train,3.076417
112,2.8653,train,2.8245313
113,2.952,train,2.9469657
114,3.0296,train,2.9169118
115,2.8363,train,2.9502177
116,3.0353,train,2.9422064
117,2.8725,train,2.8455112
118,2.8571,test,2.9505029
119,2.7055,train,2.774295
120,3.0198,test,2.9359121
121,3.015,train,3.103522
122,3.0783,train,2.9420567
123,2.8678,train,2.9039903
124,2.7385,train,2.8791432
125,2.9339,train,2.888281
126,2.969,train,2.890009
127,2.9835,train,2.896114
128,3.1443,train,3.3086622
129,3.1576,train,3.3096359
130,3.1337,train,3.3094146
131,3.1627,train,3.2646332
132,3.2382,train,3.2452269
133,3.069,test,3.1214526
134,3.0684,train,3.1700757
135,3.1753,train,3.20944
136,3.2355,train,3.2894335
137,3.2279,test,3.188434
138,3.2252,train,3.0741303
139,3.0865,test,3.0970473
140,3.7631,train,3.5656145
141,3.2487,train,3.3402555
142,3.2015,train,3.3339462
143,3.4605,train,3.42311
144,3.312,train,3.38076
145,3.3168,train,3.4365797
146,3.385,train,3.4840558
147,3.3518,train,3.2870736
148,3.656,test,3.6477423
149,3.6322,train,3.6727538
150,3.7099,train,3.5198548
151,3.6353,train,3.64682
152,3.6949,train,3.7060425
153,3.6414,train,3.6497242
154,3.5143,train,3.4182537
155,3.5295,test,3.4328852
156,2.8776,train,2.8962479
157,2.8696,train,2.87522
158,2.7923,train,2.8376896
159,3.6431,train,3.5668907
160,3.6395,train,3.5567663
161,3.4585,train,3.5479865
162,3.4331,train,3.4344952
163,3.6296,train,3.5983531
164,3.4786,train,3.4767196
165,3.7013,train,3.600809
166,3.6173,train,3.557349
167,3.414,train,3.4893246
168,3.7507,test,3.6665697
169,2.9832,train,3.150404
170,3.0002,train,3.104534
171,2.9557,train,3.0483923
172,2.9201,train,2.9723902
173,2.9287,train,2.9438193
174,2.8262,test,2.841904
175,2.8286,train,2.8777866
176,2.9017,train,2.8617735
177,3.233,train,3.3083944
178,3.2,train,3.3569646
179,3.1994,train,3.3337247
180,3.2821,train,3.1859946
181,2.9987,train,3.0014424
182,3.0565,train,3.057909
183,3.068,train,3.1266208
184,3.1248,train,3.1855876
185,3.1128,train,3.136795
186,3.1114,train,3.1717162
187,3.174,train,3.3218758
188,3.2781,train,3.3470023
189,2.9117,train,2.9443524
190,2.894,train,2.9369702
191,3.2147,train,3.2842672
192,3.2771,test,3.2593935
193,3.1808,train,3.287601
194,3.3841,train,3.374076
195,3.3865,train,3.3851554
196,3.3895,test,3.241012
197,3.8232,train,3.7916443
198,3.8349,test,3.751893
199,3.545,test,3.6128914
200,3.6057,train,3.6332488
201,3.7203,train,3.7241933
202,3.3836,train,3.450763
203,3.5742,train,3.591813
204,3.5623,test,3.5359097
205,3.7188,train,3.7738538
206,3.3676,train,3.4920666
207,3.295,train,3.3597991
208,3.3463,test,3.4597077
209,3.3738,test,3.4438014
210,3.5506,test,3.4609373
211,3.4523,test,3.5490277
212,3.6328,test,3.407355
213,3.271,test,3.1961617
214,3.1804,train,3.2770872
215,3.1389,test,3.209086
216,3.4494,train,3.265183
217,3.1432,train,3.2286167
218,3.1971,test,3.2923796
219,3.4784,train,3.3332634
220,3.2001,train,3.1707857
221,3.2117,train,3.2601311
222,2.9843,train,3.1134279
223,3.4163,train,3.3478007
224,3.441,train,3.519917
225,3.4704,train,3.4250963
226,3.4724,train,3.468155
227,3.1747,test,3.2666714
228,3.2073,train,3.2785115
229,3.1959,train,3.244065
230,3.3627,train,3.2895114
231,3.3814,test,3.316515
232,3.6423,train,3.7302952
233,3.6494,train,3.6552126
234,3.6301,train,3.6903617
235,3.7166,train,3.6857672
236,3.6945,train,3.736702
237,3.6905,train,3.6893816
238,3.5667,train,3.5731585
239,3.5445,test,3.5367966
240,3.5421,train,3.5908282
241,3.6302,train,3.6767921
242,3.6113,train,3.6216877
243,3.7212,train,3.6970718
244,3.6745,test,3.6239402
245,3.706,train,3.6397476
246,3.3874,train,3.5096123
247,3.8619,test,3.7538404
248,3.7561,train,3.720273
249,3.8322,train,3.8572803
250,3.8574,test,3.6742234
251,3.2629,train,3.3485692
252,3.2066,train,3.285299
253,3.0587,train,3.1538956
254,3.4135,test,3.5500271
255,3.3895,train,3.5671582
256,3.2756,train,3.3410003
257,3.2725,train,3.3200293
258,3.3188,train,3.2957993
259,3.1909,test,3.2538414
260,3.1662,test,3.230283
261,3.4025,train,3.4750066
262,3.2715,train,3.2559464
263,3.7899,train,3.7804618
264,3.8118,train,3.7218404
265,3.75,test,3.6645005
266,3.8424,test,3.6269677
267,3.4258,train,3.4836862
268,3.551,train,3.5619664
269,3.589,train,3.6585531
270,3.7494,train,3.7117617
271,3.6332,train,3.6331825
272,3.636,train,3.6275861
273,3.6102,train,3.6733055
274,3.3643,train,3.4619846
275,3.8119,train,3.852224
276,3.7653,train,3.7727358
277,3.3616,train,3.4714763
278,3.3401,train,3.3878005
279,3.6656,train,3.6672835
280,3.7107,train,3.6760046
281,3.614,train,3.6099212
282,3.6928,train,3.7843935
283,3.8204,train,3.8253794
284,3.816,train,3.8295007
285,3.8462,train,3.813259
286,3.8634,train,3.7566621
287,3.7424,train,3.749573
288,3.6268,train,3.6603215
289,3.799,train,3.76599
290,3.7124,test,3.70402
291,3.7934,test,3.6261904
292,3.7989,test,3.6272275
293,3.831,train,3.6718237
294,3.4577,train,3.6020646
295,3.8569,train,3.8782191
296,3.8625,test,3.818201
297,3.8588,train,3.871306
298,3.5734,train,3.6767454
299,3.8441,train,3.954557
300,3.8191,test,3.8787527
301,3.862,train,3.8255517
302,2.9648,test,3.0726836
303,3.0204,train,3.0880687
304,2.9434,train,2.9823835
305,2.8937,train,2.9761233
306,2.9251,train,2.981741
307,2.9576,train,3.0217042
308,3.0202,train,2.936832
309,2.9303,test,2.9747252
310,2.9582,train,2.9506214
311,3.0047,test,3.1088548
312,2.8424,train,2.9449365
313,2.7957,train,2.8671732
314,2.8922,train,2.8495069
315,2.8355,train,2.9087768
316,2.8904,test,2.8576322
317,2.8854,train,2.8865447
318,2.896,train,2.9221814
319,2.9633,test,3.0459297
320,2.9103,train,2.9007108
321,2.943,train,2.9641635
322,2.8785,train,2.8960915
323,2.7379,test,2.7061899
324,2.7335,train,2.7240622
325,2.8325,train,2.8062923
326,2.8102,train,2.8055174
327,2.8482,train,2.8791816
328,2.9204,train,2.912189
329,2.8289,test,2.9217744
330,2.8529,train,2.8897681
331,2.8969,test,2.8307898
332,2.8803,train,2.9225495
333,2.8315,train,2.8757422
334,2.9054,train,3.005404
335,2.8148,train,2.8625097
336,2.9999,test,2.9279773
337,3.0153,train,2.9763129
338,2.9696,test,3.0217621
339,2.9576,train,3.0503945
340,2.9011,train,2.9671142
341,2.8902,train,2.9561658
342,2.8799,test,2.9438639
343,2.8406,train,2.9903443
344,2.9742,train,2.9418123
345,3.0444,train,3.0632293
346,3.044,test,3.0755684
347,3.0445,train,3.0345175
348,3.051,train,3.058401
349,3.0659,train,3.108928
350,3.0978,train,3.061519
351,3.1774,train,3.099379
352,3.0491,test,3.087392
353,3.0567,train,3.0672681
354,2.9958,train,3.0844452
355,3.0509,test,3.0366237
356,2.8582,train,3.0100424
357,3.0995,test,3.258057
358,3.2333,train,3.1460898
359,3.3072,train,3.2907581
360,3.262,train,3.2356262
361,3.1022,train,3.2111816
362,3.2184,test,3.2957113
363,3.1791,test,3.1351728
364,3.1281,train,3.1772177
365,2.7059,test,2.8259284
366,3.1946,train,3.1538525
367,3.1194,test,3.0759676
368,3.1687,train,3.2123508
369,3.1681,train,3.096657
370,3.3136,train,3.3006368
371,3.1288,train,3.144377
372,3.1419,train,3.087035
373,3.131,train,3.130768
374,3.1461,train,3.153388
375,3.0527,train,3.1444106
376,3.1466,train,3.1498406
377,2.795,test,2.9749372
378,2.8597,train,2.8947415
379,2.7712,train,2.8814654
380,2.8607,train,2.926318
381,2.8018,train,2.8987517
382,2.728,test,2.8280027
383,2.8082,train,2.9029837
384,2.9176,train,2.9972293
385,2.9428,train,2.9755228
386,3.0122,train,2.9061308
387,3.0505,train,3.0268798
388,2.8996,test,2.862698
389,2.8956,train,2.8768191
390,2.8036,train,2.8650346
391,3.0002,train,2.9634078
392,2.9831,train,2.9778047
393,2.988,train,2.9524019
394,2.9978,test,2.9405696
395,3.0018,train,3.0735257
396,2.859,test,2.9514923
397,2.8668,train,2.8543656
398,3.2233,test,3.1176138
399,3.2221,train,3.1144142
400,3.0996,train,3.1612208
401,3.094,train,3.1717029
402,3.1432,train,3.2042468
403,3.1454,train,3.179994
404,3.1414,train,3.1641202
405,3.1493,test,3.0177379
406,3.1709,train,3.0873368
407,3.5757,train,3.5561945
408,3.6762,train,3.5659065
409,3.247,train,3.4353132
410,3.2755,train,3.4366996
411,3.3275,test,3.4246125
412,3.2811,test,3.4521232
413,3.0717,train,3.2275522
414,3.2093,train,3.3563247
415,3.4077,train,3.3851178
416,3.5206,train,3.4494529
417,3.2104,test,3.1653426
418,3.0607,train,3.2301586
419,3.0914,train,3.2931654
420,3.1999,train,3.3959718
421,3.3692,train,3.2729506
422,3.2759,test,3.4840405
423,3.3778,test,3.2817612
424,2.9805,train,3.0395973
425,3.2255,train,3.2026706
426,2.9854,test,2.9968083
427,2.9828,train,3.0315547
428,3.0546,train,3.1714644
429,3.0117,test,3.1330705
430,3.1709,train,3.1862273
431,3.0418,train,3.0894697
432,3.0655,train,3.1281872
433,2.8326,test,3.026849
434,3.2241,train,3.1968286
435,3.3358,train,3.2741847
436,3.2674,train,3.3363192
437,3.2999,train,3.229604
438,2.8592,train,3.0894103
439,3.0121,test,3.0988145
440,3.0887,train,3.1429503
441,3.0464,train,3.049881
442,3.1672,test,3.1474082
443,3.4326,test,3.4217186
444,3.4847,train,3.5151138
445,3.5087,test,3.5898323
446,3.2885,train,3.3968878
447,3.2904,test,3.40072
448,3.2824,test,3.4061105
449,3.2958,train,3.3721812
450,3.3278,train,3.4345343
451,3.5574,train,3.3728104
452,3.53,train,3.4272356
453,3.5618,test,3.5191803
454,3.3899,train,3.4117568
455,3.3895,train,3.4069717
456,3.3307,test,3.3498507
457,3.4435,train,3.5633268
458,3.3633,train,3.548287
459,3.5757,train,3.6083395
460,3.5504,train,3.5698116
461,3.7154,train,3.7131426
462,3.5063,test,3.521947
463,3.8247,train,3.7841666
464,3.833,train,3.7867093
465,3.7328,test,3.7938917
466,3.7486,train,3.8274224
467,3.6185,train,3.77109
468,3.7263,train,3.785764
469,3.1115,train,3.1626027
470,3.0584,train,3.184156
471,2.8876,train,2.985458
472,3.8109,train,3.7822142
473,3.702,train,3.6001287
474,3.7293,train,3.6961534
475,3.6162,train,3.5555289
476,3.6201,train,3.5597837
477,3.6994,train,3.7027194
478,3.623,test,3.6164463
479,3.7388,train,3.607547
480,3.7499,train,3.7199974
481,3.7136,train,3.6877213
482,3.7569,train,3.683523
483,3.7096,test,3.6885166
484,3.7136,train,3.6891809
485,3.2825,test,3.4135087
486,3.2859,test,3.3778782
487,3.2595,test,3.358368
488,3.1249,train,3.175804
489,3.1262,train,3.1725183
490,3.1521,train,3.299127
491,3.2321,train,3.318358
492,2.8954,train,3.0658283
493,3.0387,train,3.046747
494,3.0488,train,3.0331333
495,3.6098,train,3.6541283
496,3.6385,train,3.6187112
497,3.5495,test,3.4874475
498,3.6157,train,3.5338316
499,3.2073,train,3.294511
500,3.3151,train,3.3061895
501,3.3028,train,3.341713
502,3.3759,train,3.3463664
503,3.2975,train,3.2630262
504,3.3129,train,3.2940578
505,3.3064,train,3.2699842
506,3.3039,train,3.2580345
507,3.2949,test,3.2625625
508,3.3076,train,3.3021271
509,3.4554,train,3.4348605
510,3.0149,train,3.0738747
511,2.9697,train,3.0774336
512,3.5135,train,3.4667752
513,3.5306,test,3.5079625
514,3.4788,test,3.5535135
515,3.4872,train,3.570445
516,3.5036,train,3.4899101
517,3.5041,train,3.4850786
518,3.4822,train,3.5117092
519,3.5047,train,3.486463
520,3.7403,train,3.7945974
521,3.7628,train,3.7949603
522,3.8304,train,3.8470566
523,3.7581,train,3.8076055
524,3.6174,train,3.61246
525,3.7826,test,3.8480012
526,3.6657,train,3.6861749
527,3.4793,train,3.6533225
528,3.5132,train,3.6466722
529,3.6275,test,3.7789018
530,3.7831,test,3.836082
531,3.4023,train,3.3850524
532,3.3485,test,3.4237895
533,3.4097,train,3.4879847
534,3.4042,train,3.4305396
535,3.4391,test,3.5249693
536,3.3083,train,3.3810942
537,3.803,test,3.5829506
538,3.4232,train,3.4207032
539,3.4748,test,3.4270587
540,3.1191,train,3.2679965
541,3.7356,test,3.648578
542,3.8461,train,3.8017309
543,3.7886,train,3.827462
544,3.8119,train,3.6557107
545,3.409,test,3.5396013
546,3.4019,train,3.4972708
547,3.2447,test,3.4361653
548,3.4783,test,3.5139828
549,3.4056,train,3.5157313
550,3.4236,train,3.3684556
551,3.5501,test,3.5162306
552,3.7812,test,3.7694056
553,3.8399,train,3.7589483
554,3.8556,train,3.8248863
555,3.8369,train,3.826414
556,3.8379,train,3.8224268
557,3.7642,test,3.784482
558,3.6647,train,3.6734939
559,3.8526,train,3.961481
560,3.6372,train,3.597374
561,3.5822,train,3.61875
562,3.2026,train,3.3103669
563,3.8353,train,3.8905013
564,3.8256,train,3.8737063
565,3.7746,train,3.805666
566,3.5685,train,3.6478007
567,3.6687,train,3.6793694
568,3.8166,train,3.8574023
569,3.2787,test,3.4598312
570,3.5301,train,3.5220294
571,3.4755,train,3.4798257
572,3.6935,train,3.6899092
573,3.4584,train,3.4575984
574,3.6902,train,3.7259583
575,3.6914,test,3.7307053
576,3.6924,test,3.7249997
577,3.6978,train,3.722887
578,3.7132,train,3.6910703
579,3.512,train,3.5758717
580,3.4699,train,3.5437596
581,3.7419,train,3.7685044
582,3.8072,train,3.8423033
583,3.5942,train,3.6525817
584,3.8021,test,3.8077974
585,3.0114,test,3.079163
586,3.0331,train,3.0335648
587,2.9012,train,3.0010996
588,2.902,train,2.9203312
589,2.8387,test,3.058255
590,2.9469,train,2.9703999
591,2.9359,test,3.0772808
592,2.9912,train,2.9695687
593,2.9368,train,3.0838895
594,2.9876,train,2.9988303
595,2.9787,train,2.9952464
596,2.9003,train,2.9364963
597,2.7622,test,2.912027
598,2.85,train,2.9242551
599,2.872,test,2.9009097
600,2.9126,train,2.9057572
601,2.9429,test,2.9328656
602,2.9849,train,2.9210117
603,2.9105,test,2.9374993
604,2.9049,train,2.9146426
605,2.9602,train,3.0092595
606,2.9352,train,2.9239662
607,2.9366,train,2.9154603
608,2.7982,train,2.8533819
609,2.7405,train,2.8353584
610,2.867,train,2.904738
611,2.9395,test,2.9652383
612,2.9795,train,2.9457188
613,2.8759,train,2.916359
614,2.9039,train,2.9490483
615,2.9907,train,2.9240117
616,2.8114,test,2.809351
617,2.7854,test,2.9423077
618,2.775,test,2.8579578
619,2.8399,train,2.8444543
620,2.9808,train,2.9665992
621,2.8704,train,2.912239
622,2.9502,train,3.029841
623,3.0189,test,3.0369272
624,3.002,train,3.0428946
625,2.9154,test,2.908761
626,2.9525,test,2.9200008
627,3.131,train,3.0858176
628,3.1309,train,3.0721984
629,3.1488,train,3.0747907
630,3.0075,test,2.9585652
631,2.9799,test,3.0807815
632,3.0068,train,3.0162282
633,2.9896,train,3.009033
634,3.0471,train,3.0365348
635,2.9574,test,2.9692082
636,2.9908,train,2.9617133
637,2.8749,train,2.9427714
638,3.1483,train,3.239029
639,3.1482,train,2.9828994
640,3.1249,test,3.2077117
641,2.9636,train,3.06942
642,3.0592,train,3.1087232
643,2.988,train,2.9940987
644,2.9191,train,3.1266344
645,3.1649,train,3.182392
646,3.108,train,3.0960493
647,3.1673,train,3.0954416
648,2.7686,train,2.9017708
649,3.0718,train,3.065519
650,3.0842,train,3.1626792
651,3.0603,train,3.0586839
652,3.1122,train,2.993752
653,3.1111,test,2.9378455
654,3.265,train,3.230309
655,3.0054,test,3.1402307
656,3.0693,train,3.1593056
657,3.0197,train,3.1629508
658,3.0744,train,3.088313
659,2.8817,train,2.9565156
660,2.8977,train,2.986338
661,2.8523,train,2.9212158
662,2.8563,test,2.9311323
663,2.8092,train,2.7968628
664,2.8051,train,2.8053682
665,2.7988,test,2.8161068
666,2.8457,train,2.8619518
667,2.9102,test,2.9993641
668,3.0263,train,2.9843843
669,3.0293,test,2.980107
670,2.9093,test,2.8345516
671,2.8956,test,2.9359057
672,2.956,test,2.9701529
673,2.9801,train,2.9826875
674,2.9875,train,2.9826941
675,2.9387,train,2.8873007
676,2.8907,train,2.912339
677,3.1899,train,3.1310768
678,3.1782,train,3.1595745
679,3.1788,train,3.2539728
680,3.1766,train,3.2623487
681,3.1114,train,3.067279
682,3.1042,test,2.9867527
683,3.5564,train,3.5499105
684,3.266,train,3.4040883
685,3.2681,test,3.3908756
686,3.3472,train,3.422006
687,3.0539,train,3.2104113
688,3.4139,train,3.3905568
689,3.3846,test,3.3122802
690,3.3726,train,3.3285108
691,3.3058,test,3.4191067
692,3.324,train,3.3717792
693,3.132,test,3.3938985
694,3.1225,test,3.3861337
695,3.1392,test,3.4083858
696,3.4421,train,3.4003563
697,3.4052,train,3.4869254
698,3.0067,train,3.083861
699,3.2265,train,3.2542436
700,3.0694,train,3.0765421
701,3.1931,train,3.2181048
702,3.2515,train,3.297567
703,3.1499,train,3.1992605
704,3.1288,test,3.188985
705,3.1973,train,3.177433
706,3.1171,train,3.194522
707,3.3282,train,3.365538
708,3.4241,train,3.3980649
709,3.4087,train,3.4392002
710,3.3724,train,3.2980509
711,3.3799,train,3.323024
712,3.0725,train,3.1280947
713,3.1035,train,3.1319654
714,3.0658,train,3.1265209
715,3.0919,test,3.1291718
716,3.0247,train,3.0932224
717,3.2653,train,3.270644
718,3.5798,test,3.5591273
719,3.6155,train,3.5960395
720,3.6578,test,3.6042323
721,3.579,train,3.5785484
722,3.3244,train,3.3611782
723,3.3573,train,3.368187
724,3.4275,train,3.4341075
725,3.6512,test,3.673433
726,3.5972,train,3.5881264
727,3.6458,train,3.5076978
728,3.4291,test,3.3835704
729,3.3688,train,3.3579595
730,3.2791,train,3.3689654
731,3.5243,train,3.6149588
732,3.5364,train,3.658838
733,3.3722,train,3.5523612
734,3.448,test,3.5666394
735,3.4551,train,3.4983392
736,3.726,train,3.8402407
737,3.7444,train,3.7371502
738,3.4849,test,3.5527143
739,3.6662,train,3.681358
740,3.6036,train,3.6987255
741,3.6059,train,3.670216
742,3.6605,train,3.6905224
743,3.6421,train,3.7313926
744,3.5775,test,3.6959617
745,3.6964,train,3.7626193
746,3.6906,test,3.6050692
747,3.3285,train,3.3324265
748,3.2373,train,3.3590448
749,2.9768,train,3.008563
750,3.5457,train,3.6094053
751,3.6835,test,3.5742192
752,3.7169,test,3.5980272
753,3.5865,test,3.450945
754,3.6209,train,3.64606
755,3.5499,train,3.4947717
756,3.5958,test,3.5873969
757,3.7035,test,3.6198473
758,3.621,train,3.6544137
759,3.3758,train,3.5282059
760,3.6969,train,3.6409695
761,3.4335,train,3.4858112
762,3.4249,train,3.4981859
763,3.4433,test,3.452958
764,3.2653,train,3.3727398
765,3.4451,train,3.4589176
766,3.4223,train,3.484831
767,3.0407,train,3.0955832
768,3.2917,test,3.3554096
769,3.2929,train,3.3565536
770,3.2928,test,3.349347
771,3.1659,test,3.0862925
772,3.6309,train,3.6624386
773,3.6923,train,3.6220417
774,3.6619,test,3.6027637
775,3.6914,train,3.5813613
776,3.3044,train,3.3023503
777,3.3591,test,3.2502792
778,3.3783,train,3.3259978
779,3.3892,train,3.3121812
780,3.3083,train,3.3141131
781,3.3949,test,3.3831267
782,3.4743,train,3.4548233
783,3.1584,test,3.1695397
784,3.2038,train,3.2200594
785,3.6614,train,3.665237
786,3.6981,train,3.713005
787,3.6766,test,3.7092764
788,3.4708,test,3.4849622
789,3.4782,train,3.475056
790,3.418,train,3.4036486
791,3.4261,train,3.4310272
792,3.7475,train,3.782918
793,3.7376,train,3.8128555
794,3.8423,train,3.8937895
795,3.6214,train,3.5740047
796,3.8676,train,3.8215497
797,3.7587,train,3.861945
798,3.6557,test,3.6945868
799,3.5665,train,3.6407745
800,3.5487,test,3.686021
801,3.5693,train,3.7106946
802,3.406,train,3.4432933
803,3.2626,train,3.4409387
804,3.47,train,3.4917264
805,3.5902,train,3.6881297
806,3.3045,train,3.4105945
807,3.6819,train,3.6492841
808,3.5391,train,3.5210085
809,3.5241,train,3.5182984
810,3.7091,train,3.540004
811,3.4874,test,3.4995363
812,3.4293,train,3.5495527
813,3.4133,train,3.543793
814,3.3709,train,3.4083118
815,3.6319,test,3.6845727
816,3.7969,train,3.822628
817,3.5328,train,3.7091212
818,3.8549,train,3.8344855
819,3.816,train,3.813878
820,3.6804,train,3.7020657
821,3.3538,test,3.3982913
822,3.7866,test,3.7286375
823,3.4307,train,3.483056
824,3.7338,train,3.7514946
825,3.5694,train,3.5170226
826,3.8259,train,3.7368622
827,3.8637,test,3.746455
828,3.856,train,3.8093355
829,3.6879,train,3.7187355
830,3.7631,test,3.7926114
831,3.7077,test,3.6217551
832,3.5412,train,3.5744517
833,3.5817,train,3.6245046
834,3.7101,train,3.730744
