file,"dielectric constant, electronic",split,Predicted
1,-1.6072585042017384,train,-1.6100684
2,-1.3042353060059337,train,-1.4104396
3,-1.800243683831961,train,-1.8420193
4,-1.8863197720868143,train,-1.9171413
5,-1.762768577242048,train,-1.799485
6,-1.873485874269467,train,-1.8279572
7,-1.7122513642718644,train,-1.7580286
8,-1.642925870583491,train,-1.6176618
9,-2.406029960391278,train,-2.3848364
10,-2.583552902390972,train,-2.7123086
11,-2.1271856606751887,test,-2.2470112
12,-2.3653522246048717,train,-2.3820474
13,-1.971444347839567,train,-2.3369157
14,-1.9409998252556906,train,-2.0706017
15,-1.7665791190788962,train,-1.8125561
16,-1.9042903405992584,train,-1.876944
17,-1.9957548904061324,train,-1.970164
18,-2.3072698938846536,train,-2.3358064
19,-2.6688220688358673,train,-2.6611032
20,-2.2600902324825385,train,-2.3338032
21,-1.955967243912939,train,-1.9541712
22,-2.1587893905671116,train,-2.1523757
23,-1.9264516160087495,train,-2.21065
24,-2.0518518856650205,test,-2.0099647
25,-1.847946625217375,train,-2.0545616
26,-2.4410851882439264,train,-2.25806
27,-1.9769582412729017,train,-2.2059975
28,-2.1946039522164247,train,-2.221595
29,-1.838291194921851,train,-1.8852863
30,-2.1167570731208647,test,-2.1789913
31,-1.7275397995405932,train,-1.6300517
32,-1.8805254746490652,test,-1.4047741
33,-1.9947699935913588,test,-1.8128575
34,-2.0969167865449965,train,-1.9254951
35,-2.16985232703804,train,-1.9402926
36,-1.5114690982796644,train,-1.5682262
37,-1.5231943150988565,train,-1.557062
38,-1.4646233933141837,train,-1.5051808
39,-1.4183273725945953,train,-1.460234
40,-1.3902274529826766,train,-1.3992574
41,-1.634886740438457,train,-1.6072174
42,-1.1392965809016475,train,-1.155538
43,-1.2326116921401273,train,-1.2381612
44,-1.7435895264464194,test,-1.433669
45,-1.7009216790059827,test,-1.4832785
46,-1.5302121203089623,train,-1.4167838
47,-2.198632345606002,train,-2.1080182
48,-1.2633550325436786,train,-1.248918
49,-1.1597086122428464,test,-1.176417
50,-0.9820375703501873,test,-1.2847672
51,-0.7367791939786994,train,-0.7799175
52,-1.4605311820132314,test,-1.7173781
53,-1.0753421977134077,train,-1.1266665
54,-1.1122536180604943,train,-1.140752
55,-1.0889339032354595,test,-1.0635676
56,-1.0491582931684216,train,-1.0798099
57,-1.256541031421729,test,-1.0585738
58,-1.0528876575897472,train,-1.1390214
60,-3.132744426885647,test,-2.9426656
61,-2.8982288507577985,train,-2.9903295
62,-0.8026856760267749,train,-0.86368495
63,-1.3011193427741943,train,-1.2893877
64,-0.8195649207480137,train,-0.9108672
65,-1.209474708172566,test,-1.1842135
66,-0.9940431158866503,train,-1.0951232
67,-1.25397451974021,test,-1.2644261
68,-0.9687336149335339,train,-1.0704662
69,-1.3522980883400515,train,-1.2872208
70,-1.322365378899721,train,-1.3861613
71,-0.9633905080231195,train,-1.0029546
72,-2.3293365805499384,test,-2.2588902
73,-2.2364376626442724,train,-2.1160378
74,-2.556320188172477,train,-2.4849641
75,-5.199337582605575,train,-4.1635075
76,-2.472585076570533,train,-2.4767003
77,-2.874874494835925,train,-2.9084198
78,-2.748585970048166,test,-2.3262653
79,-1.7870388365361296,train,-1.8816148
80,-1.5369325361208421,test,-1.6097236
81,-1.7251129623919463,train,-1.9012301
82,-1.4340310877526479,train,-1.6808257
83,-2.0191064469052433,test,-2.0428586
84,-1.8316626963302145,train,-1.959162
85,-2.512007008506034,train,-2.5396633
86,-1.674144666203748,train,-1.543665
87,-1.6641767263397065,train,-1.7378098
88,-1.6576319710948182,test,-1.7314433
89,-1.7517943793788016,train,-1.8816773
90,-2.0332951111295294,train,-2.3245645
91,-2.27555132271687,train,-2.3904877
92,-0.9157668271900793,train,-0.9219937
93,-0.8893945942481568,train,-0.92916054
94,-1.360079386741761,train,-1.3848909
95,-1.0245473845008566,train,-1.1804434
96,-1.0738161389452292,train,-1.1401614
97,-0.9578464151039295,train,-1.0637727
98,-0.466744911208825,test,-0.49619004
99,-0.34031797993916846,train,-0.34502125
100,-0.7548446143214407,train,-0.7161562
101,-0.6425102294443551,train,-0.6875315
102,-0.6120965316179539,train,-0.55925995
103,-1.0957748766710798,test,-1.2003924
104,-0.18276195991682648,train,-0.08435051
105,-0.6906448582477333,train,-0.75634503
106,-0.4393985048858507,train,-0.45032716
107,-1.1025628174879594,train,-1.0809181
108,-1.132019710076472,train,-1.1610173
109,-1.1209978184309564,test,-1.1072642
110,-0.9704499751113251,train,-0.9435503
111,-0.7752703509488339,test,-0.7397441
112,-0.6704367582368076,train,-0.64427805
113,-0.5478350954460721,train,-0.599503
114,-1.3527043035439223,train,-1.2352519
115,-1.0236726038766157,test,-1.555807
116,-0.809135070863202,train,-1.0808035
117,-1.4733026427516496,test,-1.1407889
118,-0.8020267832705341,train,-0.7402968
119,-1.3151507560598774,train,-1.2934185
120,-1.3918729382812343,train,-1.3893573
121,-2.0749489466921904,train,-1.9328752
122,-0.8277074349665392,train,-0.8042706
123,-0.8377521206809319,train,-0.79727024
124,-0.7040298027571756,train,-0.723409
125,-1.3372011016693077,test,-1.3788608
126,-1.8061332566109174,train,-1.7478075
127,-1.0812903266156015,train,-1.1149532
128,-0.9797266934711727,train,-0.9662955
129,-0.9273708108852317,train,-1.0604151
130,-0.5967942580932423,test,-0.5639564
131,-0.5734438945902555,train,-0.6194035
132,-0.6149567247921544,train,-0.59300566
133,-0.5699300008154075,train,-0.39640328
134,-0.4500777330053815,train,-0.41238523
135,-0.720123803163463,train,-0.6036201
136,-0.7234302171205814,train,-0.59927684
137,-0.541982300198434,test,-0.5742904
138,-0.45409233220906137,train,-0.40859905
139,-0.46329042295417666,train,-0.498794
140,-0.4701832160014553,train,-0.44438612
141,-0.6988892026479355,train,-0.68095016
142,0.21106976491595733,test,0.47386828
143,-0.4440603366108842,train,-0.43241787
144,-0.5005850528391712,train,-0.53148466
145,-0.15458948036998962,train,-0.13563389
146,-0.3453571232032874,train,-0.46174097
147,-0.3362704537081237,train,-0.2796623
148,-0.25992165814622814,train,-0.2157208
149,-0.3081897276147609,test,-0.12237024
150,0.5525031436524519,train,0.531387
151,0.06423848151194199,train,0.18334833
152,0.034439538375441774,train,0.025075307
153,0.14079557383796856,train,0.25324988
154,0.040975859242537084,train,0.085241154
155,0.11511615865619731,train,0.13815734
156,0.05046594888615121,train,0.091669075
157,-0.10159486456954561,test,-0.26390824
158,-0.0920262561860192,test,-0.07153046
160,-1.2908586535852082,train,-1.2730182
161,-1.330223744311266,test,-1.7703174
162,-1.6297790261019691,train,-1.6545368
163,0.45840539971881433,train,0.44794604
164,0.05476476454185774,train,0.095208526
165,0.46106169397170116,train,0.52779037
166,0.047571603573981214,test,0.13430278
167,-0.15723397056564695,train,-0.19038752
168,-0.18617686645764328,train,-0.20976429
169,0.026026271946619974,train,0.12458004
170,-0.13106494595497292,train,-0.10134852
171,0.12749962301511963,test,0.23142913
172,0.007241553063418673,train,-0.00022535026
173,-0.21611941587960926,test,-0.37499192
174,0.1965920082719266,train,0.13394324
175,-0.929903346615571,train,-0.94228446
176,-0.8735150946147053,train,-0.7291138
177,-1.0151198913616444,test,-0.79052633
178,-1.1102716161595607,test,-1.0463246
179,-1.0923073000160577,train,-1.3821595
180,-1.5165758035584984,train,-1.5227183
181,-1.5058577433804545,train,-1.4848968
182,-1.1785541879315067,train,-1.0396625
183,-0.4584011224208548,train,-0.50841254
184,-0.5048653487442606,train,-0.47092608
185,-0.5089168553138804,train,-0.4618033
186,-0.39380616286639175,train,-0.4538762
187,-0.8814806991922937,test,-0.848537
188,-0.752215774069125,train,-0.71295184
189,-0.7251119556238599,train,-0.6722303
190,-0.6395011222946773,train,-0.59382415
191,-0.6547490206023459,train,-0.6426529
192,-0.6611618742897375,train,-0.6373194
193,-0.5454769753774663,train,-0.42201006
194,-0.4024071532886359,train,-0.3004006
195,-1.1404649850019482,test,-0.8747882
196,-1.2257035661532387,train,-1.1959732
197,-0.48162357365227826,train,-0.48067483
198,-0.40461229778631275,train,-0.3515526
199,-0.5264126998191755,test,-0.41815272
200,-0.26345740564972175,train,-0.2927535
201,-0.25758599519383557,test,-0.2312476
202,-0.24972140621486752,test,-0.4064594
203,0.26188910533838733,train,0.2263452
204,0.27790931739383223,train,0.3963585
205,-0.0743131587486038,train,-0.052935902
206,-0.009121933440950317,train,-0.030263271
207,0.16177550396108076,train,0.17553653
208,-0.26531442388306437,train,-0.24825403
209,0.33403368493727464,train,0.35553792
210,-0.03867906522872507,train,-0.027787223
211,-0.05225422251354992,test,0.13320218
212,0.15962489555879897,test,0.3346179
213,-0.2921471236073764,test,-0.40299195
214,-0.37559098083850295,train,-0.3636724
215,-0.31329091133126485,train,-0.2890551
216,-0.27936608760663156,train,-0.27661875
217,-0.0614332726487706,train,-0.109960616
218,-0.16530059751057716,train,-0.21437009
219,0.03665282051245383,train,0.015171237
220,-0.4170045528291478,train,-0.37772742
221,-0.5277042837574776,test,-0.6189732
222,-0.6098576369483729,train,-0.49406376
223,-0.16740279155787133,test,-0.5320548
224,-0.5999365109266501,test,-0.44360456
225,-0.5124392259835393,train,-0.60145265
226,-0.13338438374839964,train,-0.1646281
227,-0.5034243291720177,train,-0.4924179
228,-0.4836413291235104,train,-0.40683967
229,-0.9235517363478346,train,-0.9191304
230,-0.21307320461407128,train,-0.07336359
231,-0.17837641539677435,train,-0.14786139
232,-0.14815485993865013,train,-0.10848689
233,-0.14438647414243136,train,-0.09427163
234,-0.543708460283664,test,-0.54680496
235,-0.49206861124322737,train,-0.50622743
236,-0.5155329954384268,test,-0.29804856
237,-0.29837753859774335,train,-0.2750315
238,-0.2674813593299053,train,-0.342221
239,0.05313728930250825,train,0.10852699
240,0.05940680995447815,test,-0.08629209
241,0.028214946206627234,train,0.020048752
242,0.15661054799035765,test,0.066724196
243,0.11423171620995248,test,0.26080802
244,0.09918924678421377,train,0.15079923
245,-0.04878152321269631,train,0.014506764
246,-0.07548975005540502,test,0.036092464
247,-0.07861967497613498,test,0.044441476
248,0.028902616431306056,train,0.0075512864
249,-0.0032694185993154233,train,0.028096616
