,"dielectric constant, ionic",split,Predicted
0,2.6005,train,1.9598161
1,2.7377,train,2.633402
2,3.3725,test,2.5957973
3,2.5727,test,2.9004047
4,2.2136,train,1.7230221
5,3.1944,train,2.69274
6,3.0257,train,2.8177981
7,2.3088,train,2.4363008
8,3.1627,train,2.1989777
9,2.1855,train,2.0947363
10,1.8851,test,2.5212545
11,1.7765,train,2.1847162
12,3.7618,train,2.3720152
13,1.919,train,1.9817867
14,2.2047,train,2.4989603
15,2.0339,train,2.6197648
16,3.101,train,2.2403717
17,2.0303,train,2.341945
18,1.7121,train,2.7602935
19,2.1302,train,2.1944208
20,1.8284,train,1.8254591
21,1.8008,train,2.0102196
22,2.9899,train,2.8867903
23,3.5508,test,2.6723838
24,2.3234,train,2.408697
25,1.7644,test,1.672925
26,2.0633,train,2.1257732
27,2.1391,train,1.8026216
28,2.6649,train,2.2826264
29,2.382,test,2.9112933
30,2.1916,test,3.4340959
31,1.9244,test,2.6085055
32,2.9898,train,2.57876
33,2.3436,train,2.8614826
34,2.1256,train,2.8204339
35,2.2606,train,2.3228033
36,2.392,train,3.0695152
37,2.8448,train,3.0910232
38,2.992,train,3.1940486
39,2.5442,test,2.11097
40,4.1736,train,4.9298162
41,5.4315,train,4.817022
42,3.8036,train,2.6517844
43,3.6143,train,3.6637251
44,3.8785,test,3.8579755
45,4.722,train,3.6537502
46,3.9751,train,3.7014391
47,4.3361,train,3.5914836
48,5.1498,train,4.041894
49,8.2555,test,6.4462137
50,4.8362,train,4.306565
51,5.2214,train,6.389065
52,5.2385,train,5.1936483
53,6.7666,train,7.2043295
54,4.6583,test,7.4656606
55,6.8413,test,6.7878766
56,3.596,train,4.3081474
57,1.2289,train,1.2642702
58,1.757,train,2.103511
59,6.8484,test,6.7868314
60,4.4742,test,4.664132
61,9.572,train,6.9220934
62,5.2368,train,5.339105
63,4.5347,test,5.4354787
64,4.12,train,4.4096007
65,5.0257,test,7.7530828
66,4.2592,test,5.697231
67,4.9625,test,5.538121
68,1.722,train,2.1360936
69,1.4957,train,1.3348862
70,1.3031,test,1.8530338
