,relative energy1,split,Predicted
0,-0.2279,train,-0.21090013
1,-0.2262,train,-0.2197187
2,-0.2149,train,-0.19967589
3,-0.2276,train,-0.22745094
4,-0.2099,train,-0.20570478
5,-0.2197,train,-0.21278208
6,-0.2159,train,-0.20952079
7,-0.2055,train,-0.20228896
8,-0.2065,train,-0.19151941
9,-0.2489,train,-0.26004937
10,-0.2417,test,-0.23099428
11,-0.2497,train,-0.286158
12,-0.2483,train,-0.2585113
13,-0.2319,train,-0.23979181
14,-0.231,train,-0.23773575
15,-0.2447,train,-0.2491827
16,-0.2183,train,-0.2357226
17,-0.2531,train,-0.27706516
18,-0.2559,train,-0.28374693
19,-0.2517,train,-0.26800492
20,-0.255,train,-0.27726752
21,-0.2539,train,-0.27348655
22,-0.2409,train,-0.25163195
23,-0.2483,test,-0.23186389
24,-0.2499,train,-0.2652179
25,-0.2355,train,-0.25010055
26,-0.251,train,-0.26636052
27,-0.2312,train,-0.24139431
28,-0.2319,train,-0.24302682
29,-0.2493,test,-0.25347197
30,-0.2278,train,-0.23307452
31,-0.2278,test,-0.27118376
32,-0.2337,test,-0.22599635
33,-0.21,train,-0.19240358
34,-0.2159,train,-0.20370981
35,-0.1129,train,-0.12458005
36,-0.1129,train,-0.09588412
37,-0.115,train,-0.10765173
38,-0.111,train,-0.10153681
39,-0.1117,train,-0.08802205
40,-0.1038,train,-0.09171485
41,-0.2127,train,-0.2206502
42,-0.2125,train,-0.19350848
43,-0.1978,test,-0.1137019
44,-0.1831,test,-0.23742923
45,-0.1904,train,-0.20342791
46,-0.1995,train,-0.19940028
47,0.0529,train,0.03602589
48,0.0545,test,-0.05758053
49,0.0551,test,-0.09239201
50,-0.0897,train,-0.09395789
51,-0.0787,test,-0.18454856
52,-0.0893,train,-0.07578311
53,-0.0841,train,-0.054482616
54,-0.0865,test,0.043870516
55,-0.0904,train,-0.104493
56,-0.0855,test,-0.09308816
57,-0.4624,train,-0.42396572
58,-0.2326,test,-0.25677106
59,-0.224,train,-0.24239454
60,0.0053,train,0.0016369242
61,0.0023,train,-0.01961901
62,0.0039,train,0.0056610424
63,0.0077,test,0.0058114342
64,0.0084,train,0.024471821
65,0.0052,test,-0.020279784
66,0.023,train,0.0025077537
67,0.0012,train,0.02098615
68,-0.1338,train,-0.12695223
69,-0.1497,train,-0.16346845
70,-0.2446,test,-0.112307064
71,-0.2385,train,-0.2537839
72,-0.251,train,-0.26030293
73,-0.2445,train,-0.25478643
74,-0.2352,train,-0.23971775
75,-0.2338,train,-0.24538133
76,-0.2309,test,-0.24313793
77,-0.2422,train,-0.2566427
78,-0.2363,test,-0.22290802
79,-0.2383,train,-0.250122
80,-0.237,train,-0.24347514
81,-0.2197,test,-0.251913
82,-0.2148,train,-0.22730407
83,-0.2291,train,-0.23476213
84,-0.2331,train,-0.22396532
85,-0.2304,train,-0.22962531
86,-0.2302,test,-0.22852674
87,-0.2102,train,-0.21907938
88,-0.2187,train,-0.21726683
89,-0.2277,train,-0.23718578
90,-0.0824,train,-0.079781495
91,-0.0808,train,-0.08398236
92,-0.0869,train,-0.05555538
93,-0.0792,train,-0.04797429
94,-0.0666,train,-0.07846508
95,-0.0641,train,-0.06688937
96,0.0882,test,0.039834462
97,0.0858,train,0.1244292
98,0.1003,train,0.109167986
99,0.0969,train,0.08003031
100,0.098,train,0.08331582
101,0.0988,test,-0.0067590065
102,0.1077,train,0.094757766
103,0.1044,train,0.124559015
104,0.1163,train,0.089451216
105,0.1151,train,0.11400224
106,0.026,train,-0.0024196412
107,0.0256,test,0.008872944
108,0.0238,train,0.010054151
109,0.0212,test,0.01000755
110,0.0222,train,0.0066233
111,0.0269,train,0.011337911
112,0.0312,train,0.011797405
113,0.0318,test,0.010996397
114,0.0329,train,0.013250528
115,0.0374,test,-0.042359523
116,0.0325,train,0.0074435743
117,-0.0228,train,-0.04442043
118,-0.0228,train,-0.066473745
119,-0.0239,train,-0.07915883
120,0.0208,train,0.007139585
121,0.0223,train,-0.0061378665
122,0.0237,train,0.006000951
123,0.024,test,-0.064347565
124,0.0337,train,0.023953237
125,0.0291,train,0.017799474
126,0.0327,train,0.033621065
127,0.0365,train,0.022309454
128,0.0842,test,0.10986651
129,0.0848,train,0.1094481
130,0.0839,train,0.11609463
131,0.1004,train,0.08413517
132,0.101,train,0.108175166
133,0.096,train,0.106043644
134,0.0955,train,0.10656706
135,0.2048,test,0.32819137
136,0.2057,train,0.24047425
137,0.2057,train,0.20303324
138,0.2161,train,0.22711438
139,0.2205,train,0.23687425
140,0.1907,test,0.22069502
141,0.2068,train,0.22427693
142,0.2111,train,0.21742597
143,0.208,train,0.20678839
144,0.2086,train,0.21297172
145,0.4013,train,0.42552456
146,0.4044,train,0.42202047
147,0.4014,test,0.32478875
148,0.4114,train,0.4087058
149,0.4019,train,0.42267933
150,0.4046,train,0.38293168
151,0.406,train,0.41853252
152,0.4052,train,0.41856688
153,0.4127,train,0.43330687
154,0.4051,train,0.41636464
155,-0.0593,test,0.25221294
156,-0.0574,test,0.31041306
157,-0.0068,train,-0.00912174
158,-0.0074,test,0.042743254
159,-0.0015,train,-0.040812857
160,0.4567,train,0.42076492
161,0.443,train,0.47167504
162,0.4573,train,0.46316186
163,0.4428,test,0.48457006
164,0.4652,train,0.46473193
165,0.4593,train,0.4617149
166,0.4425,train,0.4779437
167,0.4644,train,0.47149074
168,0.4441,test,0.4220775
169,0.4431,train,0.4509793
170,0.4108,test,0.39852136
171,0.4119,train,0.43603346
172,0.0156,train,0.0132566355
173,0.0158,train,-0.0004976038
174,0.0163,test,0.0038530473
175,0.0146,test,-0.011440288
176,0.0227,train,0.020258507
177,0.0303,train,0.011673944
178,0.0235,train,0.0074010156
179,0.0258,train,0.01891569
180,0.0562,train,0.07610163
181,0.0586,train,0.081134304
182,0.0585,train,0.07365659
183,0.0591,train,0.08729095
184,0.0703,test,0.08474561
185,0.0702,train,0.07932161
186,0.0693,train,0.060536437
187,0.0712,train,0.07250725
188,0.0713,train,0.06371264
189,0.0711,train,0.074316576
190,0.0722,train,0.09296466
191,0.08,train,0.084658585
192,0.0779,test,0.074660145
193,0.0842,train,0.08409011
194,0.2661,train,0.26660034
195,0.2666,train,0.28764218
196,0.2654,test,0.37798744
197,0.27,train,0.25712737
198,0.2689,test,0.22153974
199,0.27,test,0.3324377
200,0.1666,train,0.1769776
201,0.1635,train,0.1872603
202,0.1774,train,0.18623894
203,0.1749,train,0.1711961
204,0.1762,train,0.15921378
205,0.1741,train,0.1793249
206,0.1835,train,0.17467427
207,0.1798,train,0.1767439
208,0.1778,test,0.22744146
209,0.1896,test,0.20284572
210,0.1903,test,0.24058798
211,0.0914,train,0.08465893
212,0.089,train,0.09729305
213,0.0886,train,0.090503395
214,0.0871,train,0.11195662
215,0.087,train,0.114678025
216,0.0903,train,0.11725605
217,0.0945,train,0.09235705
218,0.0973,test,0.081446536
219,0.1002,train,0.09683045
220,0.0962,test,0.056210577
221,0.0997,test,0.07620992
222,0.097,train,0.08201771
223,0.0938,train,0.08944058
224,0.0314,train,-0.0039575472
225,0.0314,train,0.002761757
226,0.0323,train,-0.01591884
227,0.0877,train,0.11424677
228,0.0865,train,0.11131611
229,0.0898,train,0.09765213
230,0.0898,train,0.1014364
231,0.0944,test,0.023796413
232,0.0955,train,0.09733054
233,0.0963,test,0.13210428
234,0.0971,train,0.1127459
235,0.0998,train,0.094054766
236,0.1607,train,0.19957656
237,0.1623,test,0.18126214
238,0.1603,train,0.19432774
239,0.1641,test,0.1632522
240,0.1763,test,0.13002367
241,0.1751,train,0.16915572
242,0.173,train,0.18023053
243,0.1724,test,0.20776892
244,0.1716,test,0.1546723
245,0.2826,train,0.30427137
246,0.2822,train,0.2933807
247,0.2843,test,0.30115783
248,0.283,train,0.27202445
249,0.291,train,0.2911919
250,0.2917,train,0.28984603
251,0.2914,train,0.37301818
252,0.2919,train,0.2917421
253,0.3055,train,0.33930048
254,0.309,test,0.36039734
255,0.3057,train,0.3213539
256,0.3067,train,0.31895006
257,0.4868,train,0.49848455
258,0.4872,train,0.5170809
259,0.4839,test,0.37463063
